US Virgin Islands,0,0,0,0,0,0
Western Sahara,0,0,0,0,0,0
Namibia,0,0,0,0,0,0
Burundi,0,0,0,0,0,0
Ecuador,0,108,379,0,5,0
UK Virgin Islands,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0
Saudi Arabia,1078,1137,1017,1859,599,381
Papua New Guinea,537,412,525,1020,651,1657
Iceland,0,0,0,0,0,0
Nepal,0,0,0,0,0,0
Somalia,0,0,0,0,0,0
Barbados,3,0,0,0,0,0
Czech Republic,0,0,0,0,0,0
Philippines,727,554,681,1107,1886,1101
Panama,0,0,500,449,28,0
Lithuania,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0
Vanuatu,28,33,38,74,31,60
United Kingdom,11983,11088,7505,4371,3987,2179
Maldives,245,249,180,186,92,117
Georgia,0,0,0,0,0,0
Bangladesh,71,66,49,47,40,42
Armenia,0,0,0,0,0,0
Tajikistan,0,0,0,0,0,0
Pakistan,56,11,0,0,0,0
Iran,0,0,0,0,0,0
Russian Federation,368,870,383,542,447,244
Argentina,0,0,0,0,23,31
Mauritius,80,66,217,280,392,430
Cameroon,0,0,0,0,0,0
Lebanon,20,1,226,25,3,0
Laos,0,0,0,5,0,0
Zambia,0,0,0,0,0,0
Belarus,0,0,0,0,0,0
France,111,19,5,0,0,0
New Caledonia,580,397,421,302,422,376
Costa Rica,0,0,0,0,0,0
British Indian Ocean Territory,0,0,0,0,0,0
Albania,0,0,0,0,0,0
Marshall Islands,4,0,0,5,6,0
Christmas Island,1,0,0,0,31,24
Nicaragua,0,0,0,0,0,0
Togo,0,0,0,0,0,0
United States,8941,10850,1787,3286,11930,3769
Madagascar,0,0,0,0,0,0
Mali,0,0,0,0,0,0
Samoa,37,39,29,29,30,19
Turkey,0,0,0,35,0,152
Italy,142,57,147,61,29,0
Portugal,0,0,0,0,0,17
Democratic Republic of the Congo,0,0,0,0,0,0
Hong Kong (SAR of China),1471,1458,1279,1153,1011,1049
St Kitts & Nevis,0,0,0,0,0,0
St Lucia,0,0,0,0,0,0
Gambia,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0
Tanzania,0,0,0,0,0,0
Unknown,0,0,0,0,0,0
Sri Lanka,199,389,390,234,209,212
Sweden,444,193,292,453,46,169
Pitcairn Island,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0
Tonga,36,7,20,35,11,2
Romania,5,0,134,0,0,0
Bosnia-Herzegovina,0,0,0,0,0,0
Malta,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0
Peru,986,694,99,0,250,33
French Guiana,0,0,0,0,0,0
Tuvalu,2,4,2,1,1,0
Vietnam,79,83,163,83,69,96
Botswana,0,0,0,0,0,0
East Timor,0,0,10,0,0,0
Finland,695,649,74,85,99,105
Zimbabwe,0,0,0,0,0,0
Chad,0,0,0,0,0,0
Brazil,4,0,29,0,0,0
French Polynesia,62,54,60,108,65,82
Azerbaijan,0,0,0,0,0,0
Ships Stores,3,9,1,47,10,0
Algeria,0,0,0,0,0,0
Guatemala,62,201,156,0,63,0
Trinidad & Tobago,0,0,0,0,0,0
Germany,3010,921,819,586,1533,2228
Kenya,1,0,0,0,6,12
Taiwan,135,133,84,90,114,65
Antigua & Barbuda,0,0,0,0,0,0
Mozambique,41,0,48,0,0,0
Republic of Korea,326,1046,884,1289,1252,1279
Cuba,0,0,0,0,0,0
